"packageId","routeId","moduleId","lessonId","activityId","activityOrder","visibleTitle","practiceType","macroStage","trackRole","archetype","helpAvailable","independentDemonstration","transfer","retention","requestedEvidence","physicalCompetenceClaim","physicalExecutionDeclared","currentEvidenceLevel","recommendedEvidenceLevel","evidenceProfile","executionTier","risk","operationalRisk","objectiveAlignment","recommendedAction","issueIds","rootCauseIds","manualReviewRequired"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.system","activity.horology.classify-subsystems","1","Comprobar qué hace el tren de ruedas","prediction / guided-practice","1-understand-watch-as-system","core","system-overview","[""graduated-hints:6"",""support:guided"",""worked-example"",""graduated-attempts""]","false","false","false","[""evidence.horology.subsystem-classification:answer""]","false","false","K","V","{""modalities"":[""K"",""V""],""primaryModality"":""V"",""knowledgeExplanationRequired"":true,""virtualDemonstrationRequired"":true,""physicalExecutionRequired"":false,""measuredOrReviewedResultRequired"":false,""physicalCompetenceClaim"":false,""reviewerRequired"":false,""measurableAcceptanceCriteria"":[],""evidenceArtifacts"":[""evidence.horology.subsystem-classification""],""classificationMethod"":""explicit-metadata"",""confidence"":""high""}","simulation","normal","normal","aligned","keep","[]","[]","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.mechanical-chain","activity.horology.order-mechanical-chain","1","Ordenar la cadena mecánica","guided-practice / mastery-check","1-understand-watch-as-system","core","mechanism-explanation","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","false","false","[""evidence.horology.mechanical-sequence:procedure""]","false","false","V","V","{""modalities"":[""K"",""V""],""primaryModality"":""V"",""knowledgeExplanationRequired"":true,""virtualDemonstrationRequired"":true,""physicalExecutionRequired"":false,""measuredOrReviewedResultRequired"":false,""physicalCompetenceClaim"":false,""reviewerRequired"":false,""measurableAcceptanceCriteria"":[],""evidenceArtifacts"":[""evidence.horology.mechanical-sequence""],""classificationMethod"":""curated-override"",""confidence"":""high""}","simulation","normal","normal","partial","keep","[]","[]","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.mechanical-chain","activity.horology.identify-escapement-oscillator","2","Identificar escape, volante y espiral","guided-practice / independent-practice","1-understand-watch-as-system","core","mechanism-explanation","[""graduated-hints:6"",""support:faded"",""worked-example"",""graduated-attempts""]","false","false","false","[""evidence.horology.component-selection:answer""]","false","false","K","V","{""modalities"":[""K"",""V""],""primaryModality"":""V"",""knowledgeExplanationRequired"":true,""virtualDemonstrationRequired"":true,""physicalExecutionRequired"":false,""measuredOrReviewedResultRequired"":false,""physicalCompetenceClaim"":false,""reviewerRequired"":false,""measurableAcceptanceCriteria"":[],""evidenceArtifacts"":[""evidence.horology.component-selection""],""classificationMethod"":""curated-override"",""confidence"":""high""}","simulation","normal","normal","partial","keep","[]","[]","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.quartz-chain","activity.horology.order-quartz-chain","1","Ordenar la cadena de cuarzo","guided-practice / mastery-check","2-understand-mechanical-systems","core","visual-anatomy","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","false","false","[""evidence.horology.quartz-sequence:procedure"",""evidence.horology.hint-use:observation""]","false","false","V","V","{""modalities"":[""K"",""V""],""primaryModality"":""V"",""knowledgeExplanationRequired"":true,""virtualDemonstrationRequired"":true,""physicalExecutionRequired"":false,""measuredOrReviewedResultRequired"":false,""physicalCompetenceClaim"":false,""reviewerRequired"":false,""measurableAcceptanceCriteria"":[],""evidenceArtifacts"":[""evidence.horology.quartz-sequence"",""evidence.horology.hint-use""],""classificationMethod"":""explicit-metadata"",""confidence"":""high""}","simulation","normal","normal","partial","keep","[]","[]","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.quartz-chain","activity.horology.identify-time-reference","2","Identificar la referencia temporal","guided-practice / independent-practice","2-understand-mechanical-systems","core","visual-anatomy","[""graduated-hints:6"",""support:faded"",""worked-example"",""graduated-attempts""]","false","false","false","[""evidence.horology.component-selection:answer""]","false","false","K","V","{""modalities"":[""K"",""V""],""primaryModality"":""V"",""knowledgeExplanationRequired"":true,""virtualDemonstrationRequired"":true,""physicalExecutionRequired"":false,""measuredOrReviewedResultRequired"":false,""physicalCompetenceClaim"":false,""reviewerRequired"":false,""measurableAcceptanceCriteria"":[],""evidenceArtifacts"":[""evidence.horology.component-selection""],""classificationMethod"":""explicit-metadata"",""confidence"":""high""}","simulation","normal","normal","partial","keep","[]","[]","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.functional-equivalence","activity.horology.match-functional-equivalents","1","Emparejar equivalencias funcionales","prediction / transfer","1-understand-watch-as-system","core","mechanism-explanation","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","true","false","[""evidence.horology.functional-comparison:answer""]","false","false","K","V","{""modalities"":[""K"",""V""],""primaryModality"":""V"",""knowledgeExplanationRequired"":true,""virtualDemonstrationRequired"":true,""physicalExecutionRequired"":false,""measuredOrReviewedResultRequired"":false,""physicalCompetenceClaim"":false,""reviewerRequired"":false,""measurableAcceptanceCriteria"":[],""evidenceArtifacts"":[""evidence.horology.functional-comparison""],""classificationMethod"":""curated-override"",""confidence"":""high""}","simulation","normal","normal","partial","keep","[]","[]","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.failure-prediction","activity.horology.predict-interruption","1","Predecir una interrupción","prediction / completion-problem","3-observe-measure-diagnose","core","diagnosis-case","[""graduated-hints:6"",""support:faded"",""worked-example"",""graduated-attempts""]","false","false","false","[""evidence.horology.interruption-prediction:answer""]","false","false","K","V","{""modalities"":[""K"",""V""],""primaryModality"":""V"",""knowledgeExplanationRequired"":true,""virtualDemonstrationRequired"":true,""physicalExecutionRequired"":false,""measuredOrReviewedResultRequired"":false,""physicalCompetenceClaim"":false,""reviewerRequired"":false,""measurableAcceptanceCriteria"":[],""evidenceArtifacts"":[""evidence.horology.interruption-prediction""],""classificationMethod"":""explicit-metadata"",""confidence"":""high""}","simulation","normal","normal","partial","keep","[]","[]","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.failure-prediction","activity.horology.select-affected-subsystem","2","Seleccionar el subsistema afectado","guided-practice / transfer","3-observe-measure-diagnose","core","diagnosis-case","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","true","false","[""evidence.horology.affected-subsystem:answer""]","false","false","K","V","{""modalities"":[""K"",""V""],""primaryModality"":""V"",""knowledgeExplanationRequired"":true,""virtualDemonstrationRequired"":true,""physicalExecutionRequired"":false,""measuredOrReviewedResultRequired"":false,""physicalCompetenceClaim"":false,""reviewerRequired"":false,""measurableAcceptanceCriteria"":[],""evidenceArtifacts"":[""evidence.horology.affected-subsystem""],""classificationMethod"":""explicit-metadata"",""confidence"":""high""}","simulation","normal","normal","partial","keep","[]","[]","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.failure-prediction","activity.horology.justify-hypothesis","3","Justificar una hipótesis","explanation / mastery-check","3-observe-measure-diagnose","core","diagnosis-case","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","false","false","[""evidence.horology.structured-justification:human-review""]","false","false","R","R","{""modalities"":[""K"",""V"",""R""],""primaryModality"":""R"",""knowledgeExplanationRequired"":true,""virtualDemonstrationRequired"":true,""physicalExecutionRequired"":false,""measuredOrReviewedResultRequired"":true,""physicalCompetenceClaim"":false,""reviewerRequired"":true,""measurableAcceptanceCriteria"":[],""evidenceArtifacts"":[""evidence.horology.structured-justification""],""classificationMethod"":""explicit-metadata"",""confidence"":""high""}","simulation","normal","normal","partial","keep","[]","[]","false"
"wplab.horology.functional-map","route.horology.orientation","module.horology.functional-map","lesson.horology.isa8172-confidence","activity.horology.isa-confidence-map","1","Crear un mapa de confianza del ISA 8172","prediction / mastery-check","2-understand-mechanical-systems","core","mechanism-explanation","[""graduated-hints:6"",""support:independent"",""worked-example"",""graduated-attempts""]","true","false","false","[""evidence.horology.source-consultation:observation"",""evidence.horology.confidence-declaration:answer""]","false","false","K","V","{""modalities"":[""K"",""V""],""primaryModality"":""V"",""knowledgeExplanationRequired"":true,""virtualDemonstrationRequired"":true,""physicalExecutionRequired"":false,""measuredOrReviewedResultRequired"":false,""physicalCompetenceClaim"":false,""reviewerRequired"":false,""measurableAcceptanceCriteria"":[],""evidenceArtifacts"":[""evidence.horology.source-consultation"",""evidence.horology.confidence-declaration""],""classificationMethod"":""explicit-metadata"",""confidence"":""high""}","simulation","normal","normal","partial","keep","[]","[]","false"
